"id","county_name","warren","chafee","sanders","omalley","clinton","biden","webb","lessig","demnopref","demother"
"84019145","Page County",41,5,95,50,129,157,0,0,2,0
"84019147","Palo Alto County",12,1,53,38,48,70,0,0,0,2
"84019149","Plymouth County",32,2,195,140,369,359,0,0,0,1
"84019151","Pocahontas County",21,0,85,67,54,101,0,0,3,0
"84019153","Polk County",900,169,4926,2036,6216,4725,5,2,33,26
"84019155","Pottawattamie County",115,12,529,220,725,666,2,1,2,0
"84019157","Poweshiek County",42,8,197,77,116,155,0,0,1,0
"84019159","Ringgold County",5,1,23,28,26,62,0,0,1,0
"84019161","Sac County",25,1,87,32,105,134,0,0,1,0
"84019163","Scott County",166,57,1168,296,2005,1444,4,0,1,4
"84019165","Shelby County",85,0,108,46,63,153,0,0,1,0
"84019167","Sioux County",82,9,279,297,299,943,0,0,1,0
"84019169","Story County",139,51,1088,439,1098,835,1,1,8,9
"84019171","Tama County",55,1,126,102,132,148,0,0,2,0
"84019173","Taylor County",7,0,28,82,44,46,0,0,2,1
"84019175","Union County",54,4,78,105,75,98,3,0,0,0
"84019177","Van Buren County",33,1,112,24,48,93,1,0,2,0
"84019179","Wapello County",74,3,196,119,103,199,0,0,0,2
"84019181","Warren County",150,23,595,308,479,630,3,0,1,0
"84019183","Washington County",51,0,277,113,168,205,0,0,12,1
"84019185","Wayne County",23,2,45,61,37,72,0,0,0,0
"84019187","Webster County",62,5,203,140,287,311,0,0,0,0
"84019189","Winnebago County",41,5,55,22,69,170,0,0,0,0
"84019191","Winneshiek County",19,8,174,34,149,136,0,0,0,0
"84019193","Woodbury County",80,19,529,308,952,1125,1,0,0,3
"84019195","Worth County",18,3,31,26,34,46,0,0,0,0
"84019197","Wright County",40,0,68,82,99,109,1,0,0,0
