"id","county_name","trump","cruz","rubio","bush","carson","christie","fiorina","gilmore","huckabee","kasich","santorum","randpaul","repnopref","repother"
"84019105","Jones County",48,52,1,167,76,200,180,1,0,0,0,0,0,0
"84019107","Keokuk County",37,60,0,89,47,80,104,1,0,0,0,0,0,0
"84019109","Kossuth County",42,98,3,89,60,95,192,0,0,1,0,0,1,0
"84019111","Lee County",12,113,3,177,37,135,120,1,0,0,5,0,0,5
"84019113","Linn County",411,1017,64,2089,786,2530,1818,0,1,9,5,1,9,5
"84019115","Louisa County",16,73,0,87,41,67,87,0,0,1,0,0,1,0
"84019117","Lucas County",22,29,1,48,95,80,120,0,0,1,0,0,1,0
"84019119","Lyon County",23,42,1,57,52,36,329,0,0,0,0,0,0,0
"84019121","Madison County",54,144,5,221,154,170,223,1,1,2,0,1,2,0
"84019123","Mahaska County",138,170,2,241,209,159,495,0,0,0,0,0,0,0
"84019125","Marion County",117,159,5,326,333,228,567,0,0,0,4,0,0,4
"84019127","Marshall County",95,296,7,315,235,365,373,0,1,0,0,1,0,0
"84019129","Mills County",29,79,2,84,44,132,162,1,0,0,1,0,0,1
"84019131","Mitchell County",16,86,3,96,17,44,68,1,0,0,0,0,0,0
"84019133","Monona County",5,53,0,43,33,96,112,0,0,0,0,0,0,0
"84019135","Monroe County",16,46,1,43,47,28,84,2,0,0,1,0,0,1
"84019137","Montgomery County",20,39,0,52,56,95,106,0,0,4,1,0,4,1
"84019139","Muscatine County",49,171,12,260,129,361,243,1,0,1,0,0,1,0
"84019141","O'Brien County",29,57,3,105,73,56,265,0,0,0,0,0,0,0
"84019143","Osceola County",20,30,2,78,17,48,81,1,0,0,0,0,0,0
"84019145","Page County",41,105,5,95,50,129,157,0,0,2,0,0,2,0
"84019147","Palo Alto County",12,52,1,53,38,48,70,0,0,0,2,0,0,2
"84019149","Plymouth County",32,161,2,195,140,369,359,0,0,0,1,0,0,1
"84019151","Pocahontas County",21,48,0,85,67,54,101,0,0,3,0,0,3,0
"84019153","Polk County",900,2800,169,4926,2036,6216,4725,5,2,33,26,2,33,26
"84019155","Pottawattamie County",115,457,12,529,220,725,666,2,1,2,0,1,2,0
"84019157","Poweshiek County",42,113,8,197,77,116,155,0,0,1,0,0,1,0
"84019159","Ringgold County",5,35,1,23,28,26,62,0,0,1,0,0,1,0
"84019161","Sac County",25,69,1,87,32,105,134,0,0,1,0,0,1,0
"84019163","Scott County",166,825,57,1168,296,2005,1444,4,0,1,4,0,1,4
"84019165","Shelby County",85,39,0,108,46,63,153,0,0,1,0,0,1,0
"84019167","Sioux County",82,160,9,279,297,299,943,0,0,1,0,0,1,0
"84019169","Story County",139,542,51,1088,439,1098,835,1,1,8,9,1,8,9
"84019171","Tama County",55,91,1,126,102,132,148,0,0,2,0,0,2,0
"84019173","Taylor County",7,25,0,28,82,44,46,0,0,2,1,0,2,1
"84019175","Union County",54,42,4,78,105,75,98,3,0,0,0,0,0,0
"84019177","Van Buren County",33,46,1,112,24,48,93,1,0,2,0,0,2,0
"84019179","Wapello County",74,152,3,196,119,103,199,0,0,0,2,0,0,2
"84019181","Warren County",150,334,23,595,308,479,630,3,0,1,0,0,1,0
"84019183","Washington County",51,128,0,277,113,168,205,0,0,12,1,0,12,1
"84019185","Wayne County",23,22,2,45,61,37,72,0,0,0,0,0,0,0
"84019187","Webster County",62,162,5,203,140,287,311,0,0,0,0,0,0,0
"84019189","Winnebago County",41,68,5,55,22,69,170,0,0,0,0,0,0,0
"84019191","Winneshiek County",19,169,8,174,34,149,136,0,0,0,0,0,0,0
"84019193","Woodbury County",80,406,19,529,308,952,1125,1,0,0,3,0,0,3
"84019195","Worth County",18,30,3,31,26,34,46,0,0,0,0,0,0,0
"84019197","Wright County",40,68,0,68,82,99,109,1,0,0,0,0,0,0
