"municipality_name","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Brügg",2835,51.7,714,730,49.4,50.6,614,851,41.9,58.1,629,790,44.3,55.7,860,586,59.5,40.5
"Evilard/Leubringen",1782,68.7,594,599,49.8,50.2,341,884,27.8,72.2,490,693,41.4,58.6,681,528,56.3,43.7
"Ipsach",2935,67.1,990,939,51.3,48.7,756,1214,38.4,61.6,721,1187,37.8,62.2,1286,665,65.9,34.1
"Lengnau ",3279,53.5,926,800,53.7,46.3,835,918,47.6,52.4,720,980,42.4,57.6,1165,570,67.1,32.9
"Ligerz",425,72.2,136,166,45,55,90,217,29.3,70.7,121,180,40.2,59.8,170,135,55.7,44.3
"Meinisberg",960,56.7,301,234,56.3,43.7,268,276,49.3,50.7,198,337,37,63,351,191,64.8,35.2
"Mörigen",670,69.9,266,192,58.1,41.9,232,236,49.6,50.4,149,307,32.7,67.3,336,127,72.6,27.4
"Nidau",4543,54.6,1020,1405,42.1,57.9,813,1668,32.8,67.2,1142,1268,47.4,52.6,1233,1210,50.5,49.5
"Orpund",1869,56.3,584,443,56.9,43.1,516,537,49,51,438,584,42.9,57.1,738,306,70.7,29.3
"Pieterlen",2475,50.2,721,507,58.7,41.3,627,615,50.5,49.5,517,699,42.5,57.5,801,435,64.8,35.2
"Port",2586,59.7,747,790,48.6,51.4,665,878,43.1,56.9,498,1021,32.8,67.2,990,548,64.4,35.6
"Safnern",1478,61.2,470,423,52.6,47.4,456,449,50.4,49.6,327,563,36.7,63.3,661,239,73.4,26.6
"Scheuren",352,69.6,154,87,63.9,36.1,123,122,50.2,49.8,111,131,45.9,54.1,163,81,66.8,33.2
"Schwadernau",497,59.2,150,141,51.5,48.5,156,138,53.1,46.9,99,183,35.1,64.9,215,75,74.1,25.9
"Sutz-Lattrigen",1057,63.1,314,350,47.3,52.7,272,395,40.8,59.2,246,406,37.7,62.3,400,263,60.3,39.7
"Twann-Tüscherz",921,65.9,246,354,41,59,219,388,36.1,63.9,239,355,40.2,59.8,334,268,55.5,44.5
"Aarberg",3338,57.6,914,1000,47.8,52.2,885,1038,46,54,633,1251,33.6,66.4,1229,684,64.2,35.8
"Arch",1187,56.4,402,261,60.6,39.4,388,281,58,42,240,418,36.5,63.5,482,184,72.4,27.6
"Bargen",759,62.2,215,248,46.4,53.6,204,268,43.2,56.8,171,295,36.7,63.3,292,178,62.1,37.9
"Brüttelen",417,59.5,98,143,40.7,59.3,146,102,58.9,41.1,83,154,35,65,145,101,58.9,41.1
"Büetigen",653,64,233,176,57,43,234,184,56,44,145,261,35.7,64.3,263,155,62.9,37.1
"Bühl",350,62.9,119,101,54.1,45.9,124,96,56.4,43.6,63,152,29.3,70.7,154,66,70,30
"Büren und Meienried",2470,58.9,750,688,52.2,47.8,639,815,43.9,56.1,569,863,39.7,60.3,933,520,64.2,35.8
"Diessbach bei Büren",712,60.8,228,201,53.1,46.9,224,209,51.7,48.3,166,258,39.2,60.8,288,145,66.5,33.5
"Dotzigen",1092,60.3,359,288,55.5,44.5,328,331,49.8,50.2,248,392,38.8,61.3,426,223,65.6,34.4
"Epsach",259,59.1,78,73,51.7,48.3,82,68,54.7,45.3,72,76,48.6,51.4,112,41,73.2,26.8
"Erlach",1039,61.4,284,354,44.5,55.5,223,415,35,65,250,376,39.9,60.1,358,277,56.4,43.6
"Finsterhennen",317,62.5,107,90,54.3,45.7,109,88,55.3,44.7,76,120,38.8,61.2,151,47,76.3,23.7
"Gals",557,56.7,175,136,56.3,43.7,133,183,42.1,57.9,126,182,40.9,59.1,210,102,67.3,32.7
"Gampelen",618,57,188,160,54,46,174,178,49.4,50.6,108,233,31.7,68.3,253,97,72.3,27.7
"Grossaffoltern",2363,63.4,711,768,48.1,51.9,660,839,44,56,549,920,37.4,62.6,905,590,60.5,39.5
"Hagneck",343,63,114,97,54,46,104,111,48.4,51.6,101,110,47.9,52.1,129,87,59.7,40.3
"Hermrigen",244,61.5,84,66,56,44,91,58,61.1,38.9,51,88,36.7,63.3,113,34,76.9,23.1
"Ins",2271,65.5,664,795,45.5,54.5,600,887,40.3,59.7,579,861,40.2,59.8,913,574,61.4,38.6
"Jens",540,68.5,176,182,49.2,50.8,165,205,44.6,55.4,128,229,35.9,64.1,250,119,67.8,32.2
"Kallnach",1482,59.4,425,448,48.7,51.3,447,434,50.7,49.3,308,554,35.7,64.3,591,290,67.1,32.9
"Kappelen",997,62.3,325,292,52.7,47.3,323,298,52,48,235,376,38.5,61.5,419,200,67.7,32.3
"Leuzigen",952,58.5,298,244,55,45,286,271,51.3,48.7,211,318,39.9,60.1,363,187,66,34
"Lüscherz",417,59.2,130,113,53.5,46.5,137,110,55.5,44.5,90,150,37.5,62.5,176,70,71.5,28.5
"Lyss",10062,57.1,2693,2969,47.6,52.4,2259,3487,39.3,60.7,2057,3535,36.8,63.2,3520,2178,61.8,38.2
"Merzligen",332,66,101,118,46.1,53.9,86,133,39.3,60.7,75,139,35,65,131,88,59.8,40.2
"Müntschemier",786,63.5,292,207,58.5,41.5,271,226,54.5,45.5,150,341,30.5,69.5,366,129,73.9,26.1
"Oberwil bei Büren",646,58.8,186,188,49.7,50.3,200,180,52.6,47.4,141,232,37.8,62.2,239,140,63.1,36.9
"Radelfingen",1016,62.5,298,329,47.5,52.5,292,343,46,54,256,360,41.6,58.4,359,273,56.8,43.2
"Rapperswil ",2084,59.1,645,570,53.1,46.9,598,633,48.6,51.4,433,780,35.7,64.3,784,442,63.9,36.1
"Rüti bei Büren",666,55.9,166,192,46.4,53.6,195,177,52.4,47.6,135,217,38.4,61.6,250,119,67.8,32.2
"Schüpfen",2892,59.9,768,932,45.2,54.8,690,1042,39.8,60.2,710,981,42,58,1005,713,58.5,41.5
"Seedorf ",2379,63,800,684,53.9,46.1,764,735,51,49,566,914,38.2,61.8,977,522,65.2,34.8
"Siselen",459,59.9,119,152,43.9,56.1,132,143,48,52,103,165,38.4,61.6,179,92,66.1,33.9
"Studen",2122,55.2,645,515,55.6,44.4,558,614,47.6,52.4,447,699,39,61,790,376,67.8,32.2
"Täuffelen",2094,64.4,661,657,50.2,49.8,619,729,45.9,54.1,493,815,37.7,62.3,840,497,62.8,37.2
"Treiten",320,63.1,116,85,57.7,42.3,120,80,60,40,63,139,31.2,68.8,141,60,70.1,29.9
"Tschugg",301,66.1,83,116,41.7,58.3,66,133,33.2,66.8,75,121,38.3,61.7,113,82,57.9,42.1
"Vinelz",651,69,218,221,49.7,50.3,175,274,39,61,152,290,34.4,65.6,279,169,62.3,37.7
"Walperswil",760,60.8,202,255,44.2,55.8,242,219,52.5,47.5,137,316,30.2,69.8,321,141,69.5,30.5
"Wengi",449,61.9,159,117,57.6,42.4,153,124,55.2,44.8,110,160,40.7,59.3,194,84,69.8,30.2
"Worben",1693,60.7,551,468,54.1,45.9,522,505,50.8,49.2,394,605,39.4,60.6,677,350,65.9,34.1
"Aarwangen",3083,59.6,926,886,51.1,48.9,876,949,48,52,620,1189,34.3,65.7,1206,630,65.7,34.3
"Attiswil",1086,61.5,358,308,53.8,46.2,360,306,54.1,45.9,237,422,36,64,447,221,66.9,33.1
"Auswil",405,57.5,126,103,55,45,153,80,65.7,34.3,98,130,43,57,155,78,66.5,33.5
"Bannwil",525,62.3,178,141,55.8,44.2,188,138,57.7,42.3,123,198,38.3,61.7,224,103,68.5,31.5
"Berken",38,73.7,8,19,29.6,70.4,20,8,71.4,28.6,7,20,25.9,74.1,23,5,82.1,17.9
"Bettenhausen",553,68.5,191,183,51.1,48.9,216,163,57,43,133,237,35.9,64.1,253,121,67.6,32.4
"Bleienbach",559,61.4,183,154,54.3,45.7,196,147,57.1,42.9,118,215,35.4,64.6,225,118,65.6,34.4
"Busswil bei Melchnau",158,68.4,57,50,53.3,46.7,65,41,61.3,38.7,36,72,33.3,66.7,70,37,65.4,34.6
"Eriswil",1100,51.3,307,246,55.5,44.5,323,241,57.3,42.7,199,349,36.3,63.7,394,158,71.4,28.6
"Farnern",166,57.2,45,50,47.4,52.6,55,40,57.9,42.1,24,69,25.8,74.2,67,25,72.8,27.2
"Gondiswil",598,54.5,174,144,54.7,45.3,195,129,60.2,39.8,105,213,33,67,220,106,67.5,32.5
"Graben",259,61.4,81,72,52.9,47.1,93,65,58.9,41.1,59,92,39.1,60.9,118,41,74.2,25.8
"Heimenhausen",866,58.4,253,252,50.1,49.9,278,228,54.9,45.1,163,327,33.3,66.7,339,166,67.1,32.9
"Herzogenbuchsee",4869,60.2,1347,1535,46.7,53.3,1082,1849,36.9,63.1,1036,1817,36.3,63.7,1738,1177,59.6,40.4
"Huttwil",3563,55.6,1008,936,51.9,48.1,958,1024,48.3,51.7,689,1243,35.7,64.3,1240,719,63.3,36.7
"Inkwil",521,68.5,169,178,48.7,51.3,204,153,57.1,42.9,120,225,34.8,65.2,217,133,62,38
"Langenthal",10360,58.4,2592,3361,43.5,56.5,2187,3865,36.1,63.9,2296,3612,38.9,61.1,3544,2481,58.8,41.2
"Lotzwil",1706,58.6,562,428,56.8,43.2,421,579,42.1,57.9,373,599,38.4,61.6,651,337,65.9,34.1
"Madiswil",2554,59.7,783,728,51.8,48.2,752,772,49.3,50.7,508,978,34.2,65.8,969,545,64,36
"Melchnau",1122,55.3,318,293,52,48,326,295,52.5,47.5,229,379,37.7,62.3,363,253,58.9,41.1
"Niederbipp",2963,54.2,845,746,53.1,46.9,899,708,55.9,44.1,547,1026,34.8,65.2,1129,470,70.6,29.4
"Niederönz",1218,64.2,374,396,48.6,51.4,345,437,44.1,55.9,301,461,39.5,60.5,462,306,60.2,39.8
"Oberbipp",1184,59.5,370,327,53.1,46.9,398,306,56.5,43.5,251,441,36.3,63.7,493,208,70.3,29.7
"Obersteckholz",338,60.7,107,95,53,47,118,87,57.6,42.4,85,114,42.7,57.3,139,65,68.1,31.9
"Ochlenberg",485,64.5,179,129,58.1,41.9,151,162,48.2,51.8,124,182,40.5,59.5,176,133,57,43
"Oeschenbach",202,54,62,47,56.9,43.1,66,41,61.7,38.3,62,47,56.9,43.1,68,41,62.4,37.6
"Reisiswil",155,56.8,56,31,64.4,35.6,55,33,62.5,37.5,29,54,34.9,65.1,64,24,72.7,27.3
"Roggwil (BE)",2734,58.2,809,756,51.7,48.3,760,830,47.8,52.2,612,935,39.6,60.4,955,621,60.6,39.4
"Rohrbach",1182,51.5,341,259,56.8,43.2,353,256,58,42,243,354,40.7,59.3,406,202,66.8,33.2
"Rohrbachgraben",296,61.1,119,61,66.1,33.9,117,64,64.6,35.4,59,117,33.5,66.5,101,74,57.7,42.3
"Rumisberg",381,67.5,144,111,56.5,43.5,159,98,61.9,38.1,91,164,35.7,64.3,193,64,75.1,24.9
"Rütschelen",441,59.9,127,130,49.4,50.6,142,122,53.8,46.2,88,172,33.8,66.2,167,90,65,35
"Schwarzhäusern",412,61.7,131,123,51.6,48.4,147,105,58.3,41.7,94,155,37.8,62.2,167,84,66.5,33.5
"Seeberg",1269,58.1,340,390,46.6,53.4,373,364,50.6,49.4,308,428,41.8,58.2,424,310,57.8,42.2
"Thörigen",851,57.3,249,223,52.8,47.2,280,208,57.4,42.6,133,341,28.1,71.9,337,142,70.4,29.6
"Thunstetten",2263,56,675,568,54.3,45.7,694,574,54.7,45.3,511,719,41.5,58.5,824,407,66.9,33.1
"Ursenbach",716,47.1,168,165,50.5,49.5,188,149,55.8,44.2,113,223,33.6,66.4,199,137,59.2,40.8
"Walliswil bei Niederbipp",180,58.3,51,53,49,51,57,48,54.3,45.7,30,73,29.1,70.9,75,30,71.4,28.6
"Walliswil bei Wangen",489,56,167,102,62.1,37.9,152,122,55.5,44.5,109,161,40.4,59.6,182,87,67.7,32.3
"Walterswil (BE)",442,53.4,133,95,58.3,41.7,150,85,63.8,36.2,80,154,34.2,65.8,162,74,68.6,31.4
"Wangen an der Aare",1642,58.6,469,481,49.4,50.6,464,499,48.2,51.8,332,602,35.5,64.5,667,284,70.1,29.9
"Wangenried",340,60.3,112,88,56,44,105,100,51.2,48.8,91,111,45,55,134,70,65.7,34.3
"Wiedlisbach",1648,54.8,471,423,52.7,47.3,466,437,51.6,48.4,363,515,41.3,58.7,597,299,66.6,33.4
"Wolfisberg",151,60.3,50,40,55.6,44.4,52,39,57.1,42.9,31,58,34.8,65.2,58,33,63.7,36.3
"Wynau",1084,52.6,308,256,54.6,45.4,305,265,53.5,46.5,212,349,37.8,62.2,357,210,63,37
"Wyssachen",968,57,317,227,58.3,41.7,342,210,62,38,220,318,40.9,59.1,367,175,67.7,32.3
"Aefligen",818,58.3,246,219,52.9,47.1,265,212,55.6,44.4,174,296,37,63,327,145,69.3,30.7
"Affoltern im Emmental",926,55.5,282,218,56.4,43.6,294,220,57.2,42.8,183,316,36.7,63.3,307,203,60.2,39.8
"Alchenstorf",480,55.4,120,140,46.2,53.8,146,120,54.9,45.1,77,180,30,70,159,102,60.9,39.1
"Bätterkinden",2438,61,666,820,44.8,55.2,533,939,36.2,63.8,580,877,39.8,60.2,863,612,58.5,41.5
"Burgdorf",11728,60,2892,4032,41.8,58.2,2055,4977,29.2,70.8,2945,3860,43.3,56.7,3559,3383,51.3,48.7
"Dürrenroth",854,54.3,261,202,56.4,43.6,274,190,59.1,40.9,151,303,33.3,66.7,311,150,67.5,32.5
"Eggiwil",2017,46.6,534,389,57.9,42.1,674,266,71.7,28.3,313,606,34.1,65.9,658,273,70.7,29.3
"Ersigen",1605,63.3,490,507,49.1,50.9,490,526,48.2,51.8,352,644,35.3,64.7,672,337,66.6,33.4
"Hasle bei Burgdorf",2589,57.5,765,684,52.8,47.2,741,747,49.8,50.2,557,879,38.8,61.2,944,535,63.8,36.2
"Heimiswil",1199,55.5,325,328,49.8,50.2,359,307,53.9,46.1,244,404,37.7,62.3,438,225,66.1,33.9
"Hindelbank",1790,57.5,504,512,49.6,50.4,459,571,44.6,55.4,339,664,33.8,66.2,632,389,61.9,38.1
"Höchstetten und Hellsau",370,57.8,124,87,58.8,41.2,126,88,58.9,41.1,80,130,38.1,61.9,172,41,80.8,19.2
"Kernenried",401,60.8,125,116,51.9,48.1,139,105,57,43,78,154,33.6,66.4,151,93,61.9,38.1
"Kirchberg ",4175,60.7,1150,1349,46,54,1046,1489,41.3,58.7,867,1609,35,65,1606,905,64,36
"Koppigen",1649,58,440,502,46.7,53.3,440,517,46,54,304,627,32.7,67.3,658,291,69.3,30.7
"Krauchthal",1895,58.4,594,503,54.1,45.9,600,507,54.2,45.8,430,653,39.7,60.3,743,352,67.9,32.1
"Langnau ",7342,55.3,1812,2168,45.5,54.5,1674,2387,41.2,58.8,1662,2285,42.1,57.9,2293,1740,56.9,43.1
"Lauperswil",2195,52.8,629,505,55.5,44.5,716,443,61.8,38.2,377,726,34.2,65.8,724,428,62.8,37.2
"Lützelflüh",3240,56.3,971,829,53.9,46.1,985,840,54,46,644,1134,36.2,63.8,1173,641,64.7,35.3
"Lyssach",1102,60.8,311,351,47,53,343,327,51.2,48.8,231,423,35.3,64.7,435,222,66.2,33.8
"Mötschwil und Rüti b.L.",254,54.7,62,72,46.3,53.7,67,72,48.2,51.8,54,79,40.6,59.4,80,56,58.8,41.2
"Oberburg",2018,55.9,589,529,52.7,47.3,569,556,50.6,49.4,403,702,36.5,63.5,724,405,64.1,35.9
"Röthenbach im Emmental",1011,52.2,343,177,66,34,396,132,75,25,185,333,35.7,64.3,390,135,74.3,25.7
"Rüderswil",1934,54,516,506,50.5,49.5,619,426,59.2,40.8,356,650,35.4,64.6,694,345,66.8,33.2
"Rüdtligen-Alchenflüh",1536,51.7,380,405,48.4,51.6,385,409,48.5,51.5,241,531,31.2,68.8,538,251,68.2,31.8
"Rüegsau",2590,58.4,837,666,55.7,44.3,785,727,51.9,48.1,503,983,33.8,66.2,1010,501,66.8,33.2
"Rumendingen",64,71.9,25,21,54.3,45.7,23,23,50,50,11,34,24.4,75.6,29,15,65.9,34.1
"Schangnau",769,57.5,309,120,72,28,347,95,78.5,21.5,99,330,23.1,76.9,345,87,79.9,20.1
"Signau",2188,56.5,617,608,50.4,49.6,728,509,58.9,41.1,466,737,38.7,61.3,817,414,66.4,33.6
"Sumiswald",4117,52.5,1067,1080,49.7,50.3,1070,1091,49.5,50.5,764,1355,36.1,63.9,1386,761,64.6,35.4
"Trachselwald",795,54.5,247,174,58.7,41.3,263,170,60.7,39.3,175,246,41.6,58.4,264,167,61.3,38.7
"Trub",1328,43.7,321,228,58.5,41.5,389,191,67.1,32.9,257,288,47.2,52.8,346,219,61.2,38.8
"Trubschachen",1116,54.9,306,295,50.9,49.1,313,300,51.1,48.9,239,350,40.6,59.4,384,222,63.4,36.6
"Utzenstorf",3192,59.3,841,1024,45.1,54.9,840,1053,44.4,55.6,724,1139,38.9,61.1,1120,749,59.9,40.1
"Wiler bei Utzenstorf",703,51.9,187,176,51.5,48.5,170,195,46.6,53.4,134,224,37.4,62.6,222,142,61,39
"Willadingen",174,62.1,62,45,57.9,42.1,53,55,49.1,50.9,30,77,28,72,75,33,69.4,30.6
"Wynigen",1653,60.1,515,473,52.1,47.9,505,488,50.9,49.1,369,607,37.8,62.2,592,398,59.8,40.2
"Zielebach",265,55.5,68,77,46.9,53.1,84,63,57.1,42.9,61,83,42.4,57.6,96,50,65.8,34.2
"Allmendingen",412,70.6,168,122,57.9,42.1,141,147,49,51,71,213,25,75,200,91,68.7,31.3
"Arni ",753,56.6,212,210,50.2,49.8,261,165,61.3,38.7,134,281,32.3,67.7,286,136,67.8,32.2
"Bäriswil",819,70.5,309,264,53.9,46.1,272,301,47.5,52.5,210,360,36.8,63.2,350,227,60.7,39.3
"Belp",8377,63.7,2571,2685,48.9,51.1,2341,2999,43.8,56.2,1989,3183,38.5,61.5,3267,2032,61.7,38.3
"Bern",86736,67.8,15928,41756,27.6,72.4,10193,48602,17.3,82.7,30672,26391,53.8,46.2,22306,35527,38.6,61.4
"Biglen",1350,60,356,437,44.9,55.1,350,460,43.2,56.8,247,547,31.1,68.9,563,242,69.9,30.1
"Bolligen",4759,74,1488,2005,42.6,57.4,1073,2450,30.5,69.5,1404,2066,40.5,59.5,1927,1586,54.9,45.1
"Bowil",1109,55.3,318,289,52.4,47.6,360,253,58.7,41.3,230,377,37.9,62.1,408,205,66.6,33.4
"Bremgarten ",3231,75.3,936,1453,39.2,60.8,602,1831,24.7,75.3,952,1415,40.2,59.8,1178,1237,48.8,51.2
"Brenzikofen",422,63.3,150,117,56.2,43.8,160,105,60.4,39.6,96,167,36.5,63.5,162,103,61.1,38.9
"Diemerswil",156,70.5,51,58,46.8,53.2,49,61,44.5,55.5,41,55,42.7,57.3,71,39,64.5,35.5
"Ferenbalm",954,65.8,343,276,55.4,44.6,348,280,55.4,44.6,230,386,37.3,62.7,390,229,63,37
"Fraubrunnen",3796,63.8,1154,1245,48.1,51.9,959,1462,39.6,60.4,831,1534,35.1,64.9,1458,948,60.6,39.4
"Frauenkappelen",942,64.2,280,308,47.6,52.4,223,382,36.9,63.1,226,367,38.1,61.9,337,268,55.7,44.3
"Freimettigen",347,62.2,117,97,54.7,45.3,104,110,48.6,51.4,92,122,43,57,122,94,56.5,43.5
"Gelterfingen",224,64.3,71,72,49.7,50.3,93,51,64.6,35.4,57,83,40.7,59.3,98,46,68.1,31.9
"Gerzensee",910,64.6,278,299,48.2,51.8,264,324,44.9,55.1,190,380,33.3,66.7,358,227,61.2,38.8
"Golaten",243,64.2,81,72,52.9,47.1,97,59,62.2,37.8,53,94,36.1,63.9,100,52,65.8,34.2
"Grosshöchstetten",2672,64.2,823,866,48.7,51.3,661,1055,38.5,61.5,557,1102,33.6,66.4,1040,646,61.7,38.3
"Guggisberg",1309,47.1,347,260,57.2,42.8,368,236,60.9,39.1,271,334,44.8,55.2,348,269,56.4,43.6
"Gurbrü",187,66.8,66,55,54.5,45.5,66,59,52.8,47.2,48,71,40.3,59.7,71,50,58.7,41.3
"Häutligen",212,62.3,79,47,62.7,37.3,86,45,65.6,34.4,44,86,33.8,66.2,86,46,65.2,34.8
"Herbligen",461,61.6,153,131,53.9,46.1,163,120,57.6,42.4,82,192,29.9,70.1,202,80,71.6,28.4
"Iffwil",329,63.2,106,99,51.7,48.3,100,108,48.1,51.9,68,137,33.2,66.8,120,87,58,42
"Ittigen",7567,61.1,2020,2525,44.4,55.6,1547,3078,33.4,66.6,1735,2762,38.6,61.4,2674,1902,58.4,41.6
"Jegenstorf",4175,67.6,1264,1515,45.5,54.5,998,1826,35.3,64.7,1003,1756,36.4,63.6,1637,1170,58.3,41.7
"Kaufdorf",779,69.8,288,250,53.5,46.5,209,335,38.4,61.6,233,303,43.5,56.5,315,229,57.9,42.1
"Kehrsatz",2699,66.8,812,958,45.9,54.1,592,1210,32.9,67.1,676,1072,38.7,61.3,1009,773,56.6,43.4
"Kiesen",691,63,216,214,50.2,49.8,211,224,48.5,51.5,142,275,34.1,65.9,273,159,63.2,36.8
"Noflen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Jaberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirchdorf",1196,64.9,361,407,47,53,383,393,49.4,50.6,260,493,34.5,65.5,479,290,62.3,37.7
"Kirchenthurnen",229,59.8,78,58,57.4,42.6,75,60,55.6,44.4,46,89,34.1,65.9,99,38,72.3,27.7
"Kirchlindach",2250,75.2,653,1013,39.2,60.8,548,1144,32.4,67.6,630,1026,38,62,903,767,54.1,45.9
"Köniz",27848,66.3,7160,10989,39.5,60.5,5253,13205,28.5,71.5,7997,9958,44.5,55.5,9267,8993,50.8,49.2
"Konolfingen",4021,63,1197,1287,48.2,51.8,1114,1420,44,56,922,1537,37.5,62.5,1464,1020,58.9,41.1
"Kriechenwil",348,59.8,115,89,56.4,43.6,102,106,49,51,86,120,41.7,58.3,129,77,62.6,37.4
"Landiswil",541,60.4,180,144,55.6,44.4,213,114,65.1,34.9,113,205,35.5,64.5,214,113,65.4,34.6
"Laupen",2266,60.3,579,774,42.8,57.2,478,889,35,65,478,870,35.5,64.5,799,552,59.1,40.9
"Linden",1034,55,338,216,61,39,396,173,69.6,30.4,199,348,36.4,63.6,410,146,73.7,26.3
