Seeland,53'089,60.10%,15'780,15'699,50.10%,49.90%,14'648,17'246,45.90%,54.10%,11'699,19'446,37.60%,62.40%,20'320,11'426,64.00%,36.00%
Thun,81'823,60.90%,25'224,23'843,51.40%,48.60%,23'745,26'060,47.70%,52.30%,18'600,29'793,38.40%,61.60%,30'580,18'757,62.00%,38.00%
Total,730'449,61.00%,202'383,235'695,46.20%,53.80%,178'747,266'553,40.10%,59.90%,179'822,252'515,41.60%,58.40%,254'332,186'601,57.70%,42.30%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Jura bernois,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Jura bernois,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Belprahon,246,67.90%,100,60,62.50%,37.50%,84,83,50.30%,49.70%,71,88,44.70%,55.30%,111,51,68.50%,31.50%
Champoz,127,74.00%,70,23,75.30%,24.70%,60,33,64.50%,35.50%,30,64,31.90%,68.10%,71,23,75.50%,24.50%
Corcelles,170,60.00%,77,25,75.50%,24.50%,64,36,64.00%,36.00%,46,53,46.50%,53.50%,71,25,74.00%,26.00%
Corgémont,1'118,54.90%,390,224,63.50%,36.50%,299,307,49.30%,50.70%,245,352,41.00%,59.00%,384,224,63.20%,36.80%
Cormoret,375,58.10%,112,103,52.10%,47.90%,73,145,33.50%,66.50%,114,102,52.80%,47.20%,117,101,53.70%,46.30%
Cortébert,494,50.80%,138,104,57.00%,43.00%,112,131,46.10%,53.90%,120,116,50.80%,49.20%,139,112,55.40%,44.60%
Court,1'022,55.90%,385,177,68.50%,31.50%,322,248,56.50%,43.50%,204,333,38.00%,62.00%,374,197,65.50%,34.50%
Courtelary,935,53.70%,282,209,57.40%,42.60%,225,277,44.80%,55.20%,238,243,49.50%,50.50%,286,211,57.50%,42.50%
Crémines,398,55.30%,138,75,64.80%,35.20%,110,110,50.00%,50.00%,116,90,56.30%,43.70%,118,102,53.60%,46.40%
Eschert,265,50.90%,74,59,55.60%,44.40%,70,65,51.90%,48.10%,64,63,50.40%,49.60%,72,60,54.50%,45.50%
Grandval,293,52.20%,103,49,67.80%,32.20%,87,65,57.20%,42.80%,88,65,57.50%,42.50%,69,81,46.00%,54.00%
La Ferrière,414,44.40%,97,87,52.70%,47.30%,64,120,34.80%,65.20%,81,96,45.80%,54.20%,77,105,42.30%,57.70%
La Neuveville,2'602,57.30%,733,710,50.80%,49.20%,442,1'048,29.70%,70.30%,660,759,46.50%,53.50%,785,686,53.40%,46.60%
Loveresse,246,56.50%,78,60,56.50%,43.50%,76,63,54.70%,45.30%,67,65,50.80%,49.20%,79,58,57.70%,42.30%
Mont-Tramelan,111,56.80%,41,21,66.10%,33.90%,24,38,38.70%,61.30%,32,29,52.50%,47.50%,39,24,61.90%,38.10%
Moutier,4'678,54.50%,1'516,969,61.00%,39.00%,1'021,1'530,40.00%,60.00%,1'249,1'190,51.20%,48.80%,1'426,1'091,56.70%,43.30%
Nods,570,48.80%,149,125,54.40%,45.60%,138,140,49.60%,50.40%,118,145,44.90%,55.10%,157,117,57.30%,42.70%
Orvin,902,53.80%,277,201,57.90%,42.10%,212,273,43.70%,56.30%,231,241,48.90%,51.10%,267,209,56.10%,43.90%
Perrefitte,306,59.20%,120,55,68.60%,31.40%,97,84,53.60%,46.40%,90,84,51.70%,48.30%,116,63,64.80%,35.20%
Péry-La Heutte,1'339,51.10%,374,307,54.90%,45.10%,320,364,46.80%,53.20%,301,358,45.70%,54.30%,395,281,58.40%,41.60%
Petit-Val,303,69.00%,129,77,62.60%,37.40%,113,96,54.10%,45.90%,103,100,50.70%,49.30%,117,91,56.30%,43.80%
Plateau de Diesse,1'508,56.20%,477,354,57.40%,42.60%,331,516,39.10%,60.90%,405,401,50.20%,49.80%,478,357,57.20%,42.80%
Rebévelier,35,57.10%,9,11,45.00%,55.00%,11,9,55.00%,45.00%,13,6,68.40%,31.60%,10,10,50.00%,50.00%
Reconvilier,1'492,56.10%,556,275,66.90%,33.10%,430,407,51.40%,48.60%,350,452,43.60%,56.40%,495,325,60.40%,39.60%
Renan ,679,52.40%,189,163,53.70%,46.30%,154,202,43.30%,56.70%,179,157,53.30%,46.70%,181,174,51.00%,49.00%
Roches,161,44.10%,50,19,72.50%,27.50%,47,22,68.10%,31.90%,35,26,57.40%,42.60%,45,26,63.40%,36.60%
Romont ,153,64.70%,60,34,63.80%,36.20%,53,46,53.50%,46.50%,40,54,42.60%,57.40%,61,37,62.20%,37.80%
Saicourt,467,56.70%,169,92,64.80%,35.20%,146,119,55.10%,44.90%,109,144,43.10%,56.90%,167,94,64.00%,36.00%
Saint-Imier,3'021,46.70%,736,647,53.20%,46.80%,548,863,38.80%,61.20%,632,717,46.80%,53.20%,762,636,54.50%,45.50%
Sauge,612,55.20%,181,140,56.40%,43.60%,153,185,45.30%,54.70%,144,169,46.00%,54.00%,181,152,54.40%,45.60%
Saules ,124,64.50%,46,32,59.00%,41.00%,54,24,69.20%,30.80%,40,34,54.10%,45.90%,47,33,58.80%,41.30%
Schelten,63,33.30%,9,6,60.00%,40.00%,12,9,57.10%,42.90%,14,6,70.00%,30.00%,7,13,35.00%,65.00%
Seehof,67,40.30%,9,18,33.30%,66.70%,18,9,66.70%,33.30%,10,16,38.50%,61.50%,16,10,61.50%,38.50%
Sonceboz-Sombeval,1'255,49.40%,398,220,64.40%,35.60%,288,332,46.50%,53.50%,257,339,43.10%,56.90%,392,227,63.30%,36.70%
Sonvilier,877,47.10%,255,152,62.70%,37.30%,190,223,46.00%,54.00%,203,195,51.00%,49.00%,231,178,56.50%,43.50%
Sorvilier,216,56.00%,76,40,65.50%,34.50%,55,66,45.50%,54.50%,53,67,44.20%,55.80%,77,44,63.60%,36.40%
Tavannes,2'233,48.40%,675,397,63.00%,37.00%,476,604,44.10%,55.90%,509,536,48.70%,51.30%,607,465,56.60%,43.40%
Tramelan,3'139,55.20%,951,757,55.70%,44.30%,692,1'041,39.90%,60.10%,862,796,52.00%,48.00%,939,760,55.30%,44.70%
Valbirse,2'656,55.90%,950,526,64.40%,35.60%,743,742,50.00%,50.00%,574,834,40.80%,59.20%,920,552,62.50%,37.50%
Villeret,640,55.50%,212,134,61.30%,38.70%,149,206,42.00%,58.00%,195,150,56.50%,43.50%,186,167,52.70%,47.30%
Total,36'312,53.50%,11'391,7'737,59.60%,40.40%,8'563,10'881,44.00%,56.00%,8'892,9'735,47.70%,52.30%,11'072,8'172,57.50%,42.50%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Biel/Bienne,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Biel/Bienne,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Aegerten,1'352,55.00%,359,372,49.10%,50.90%,369,374,49.70%,50.30%,275,446,38.10%,61.90%,507,233,68.50%,31.50%
Bellmund,1'191,65.40%,376,401,48.40%,51.60%,298,481,38.30%,61.70%,236,532,30.70%,69.30%,527,250,67.80%,32.20%
Biel / Bienne,31'383,53.10%,6'813,9'466,41.90%,58.10%,5'204,11'475,31.20%,68.80%,8'732,7'286,54.50%,45.50%,8'038,8'326,49.10%,50.90%
Brügg,2'835,51.70%,714,730,49.40%,50.60%,614,851,41.90%,58.10%,629,790,44.30%,55.70%,860,586,59.50%,40.50%
Evilard/Leubringen,1'782,68.70%,594,599,49.80%,50.20%,341,884,27.80%,72.20%,490,693,41.40%,58.60%,681,528,56.30%,43.70%
Ipsach,2'935,67.10%,990,939,51.30%,48.70%,756,1'214,38.40%,61.60%,721,1'187,37.80%,62.20%,1'286,665,65.90%,34.10%
Lengnau ,3'279,53.50%,926,800,53.70%,46.30%,835,918,47.60%,52.40%,720,980,42.40%,57.60%,1'165,570,67.10%,32.90%
Ligerz,425,72.20%,136,166,45.00%,55.00%,90,217,29.30%,70.70%,121,180,40.20%,59.80%,170,135,55.70%,44.30%
Meinisberg,960,56.70%,301,234,56.30%,43.70%,268,276,49.30%,50.70%,198,337,37.00%,63.00%,351,191,64.80%,35.20%
Mörigen,670,69.90%,266,192,58.10%,41.90%,232,236,49.60%,50.40%,149,307,32.70%,67.30%,336,127,72.60%,27.40%
Nidau,4'543,54.60%,1'020,1'405,42.10%,57.90%,813,1'668,32.80%,67.20%,1'142,1'268,47.40%,52.60%,1'233,1'210,50.50%,49.50%
Orpund,1'869,56.30%,584,443,56.90%,43.10%,516,537,49.00%,51.00%,438,584,42.90%,57.10%,738,306,70.70%,29.30%
Pieterlen,2'475,50.20%,721,507,58.70%,41.30%,627,615,50.50%,49.50%,517,699,42.50%,57.50%,801,435,64.80%,35.20%
Port,2'586,59.70%,747,790,48.60%,51.40%,665,878,43.10%,56.90%,498,1'021,32.80%,67.20%,990,548,64.40%,35.60%
Safnern,1'478,61.20%,470,423,52.60%,47.40%,456,449,50.40%,49.60%,327,563,36.70%,63.30%,661,239,73.40%,26.60%
Scheuren,352,69.60%,154,87,63.90%,36.10%,123,122,50.20%,49.80%,111,131,45.90%,54.10%,163,81,66.80%,33.20%
Schwadernau,497,59.20%,150,141,51.50%,48.50%,156,138,53.10%,46.90%,99,183,35.10%,64.90%,215,75,74.10%,25.90%
Sutz-Lattrigen,1'057,63.10%,314,350,47.30%,52.70%,272,395,40.80%,59.20%,246,406,37.70%,62.30%,400,263,60.30%,39.70%
Twann-Tüscherz,921,65.90%,246,354,41.00%,59.00%,219,388,36.10%,63.90%,239,355,40.20%,59.80%,334,268,55.50%,44.50%
Total,62'590,55.90%,15'881,18'399,46.30%,53.70%,12'854,22'116,36.80%,63.20%,15'888,17'948,47.00%,53.00%,19'456,15'036,56.40%,43.60%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Seeland,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Seeland,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Aarberg,3'338,57.60%,914,1'000,47.80%,52.20%,885,1'038,46.00%,54.00%,633,1'251,33.60%,66.40%,1'229,684,64.20%,35.80%
Arch,1'187,56.40%,402,261,60.60%,39.40%,388,281,58.00%,42.00%,240,418,36.50%,63.50%,482,184,72.40%,27.60%
Bargen,759,62.20%,215,248,46.40%,53.60%,204,268,43.20%,56.80%,171,295,36.70%,63.30%,292,178,62.10%,37.90%
Brüttelen,417,59.50%,98,143,40.70%,59.30%,146,102,58.90%,41.10%,83,154,35.00%,65.00%,145,101,58.90%,41.10%
Büetigen,653,64.00%,233,176,57.00%,43.00%,234,184,56.00%,44.00%,145,261,35.70%,64.30%,263,155,62.90%,37.10%
Bühl,350,62.90%,119,101,54.10%,45.90%,124,96,56.40%,43.60%,63,152,29.30%,70.70%,154,66,70.00%,30.00%
Büren und Meienried,2'470,58.90%,750,688,52.20%,47.80%,639,815,43.90%,56.10%,569,863,39.70%,60.30%,933,520,64.20%,35.80%
Diessbach bei Büren,712,60.80%,228,201,53.10%,46.90%,224,209,51.70%,48.30%,166,258,39.20%,60.80%,288,145,66.50%,33.50%
Dotzigen,1'092,60.30%,359,288,55.50%,44.50%,328,331,49.80%,50.20%,248,392,38.80%,61.30%,426,223,65.60%,34.40%
Epsach,259,59.10%,78,73,51.70%,48.30%,82,68,54.70%,45.30%,72,76,48.60%,51.40%,112,41,73.20%,26.80%
Erlach,1'039,61.40%,284,354,44.50%,55.50%,223,415,35.00%,65.00%,250,376,39.90%,60.10%,358,277,56.40%,43.60%
Finsterhennen,317,62.50%,107,90,54.30%,45.70%,109,88,55.30%,44.70%,76,120,38.80%,61.20%,151,47,76.30%,23.70%
Gals,557,56.70%,175,136,56.30%,43.70%,133,183,42.10%,57.90%,126,182,40.90%,59.10%,210,102,67.30%,32.70%
Gampelen,618,57.00%,188,160,54.00%,46.00%,174,178,49.40%,50.60%,108,233,31.70%,68.30%,253,97,72.30%,27.70%
Grossaffoltern,2'363,63.40%,711,768,48.10%,51.90%,660,839,44.00%,56.00%,549,920,37.40%,62.60%,905,590,60.50%,39.50%
Hagneck,343,63.00%,114,97,54.00%,46.00%,104,111,48.40%,51.60%,101,110,47.90%,52.10%,129,87,59.70%,40.30%
Hermrigen,244,61.50%,84,66,56.00%,44.00%,91,58,61.10%,38.90%,51,88,36.70%,63.30%,113,34,76.90%,23.10%
Ins,2'271,65.50%,664,795,45.50%,54.50%,600,887,40.30%,59.70%,579,861,40.20%,59.80%,913,574,61.40%,38.60%
Jens,540,68.50%,176,182,49.20%,50.80%,165,205,44.60%,55.40%,128,229,35.90%,64.10%,250,119,67.80%,32.20%
Kallnach,1'482,59.40%,425,448,48.70%,51.30%,447,434,50.70%,49.30%,308,554,35.70%,64.30%,591,290,67.10%,32.90%
Kappelen,997,62.30%,325,292,52.70%,47.30%,323,298,52.00%,48.00%,235,376,38.50%,61.50%,419,200,67.70%,32.30%
Leuzigen,952,58.50%,298,244,55.00%,45.00%,286,271,51.30%,48.70%,211,318,39.90%,60.10%,363,187,66.00%,34.00%
Lüscherz,417,59.20%,130,113,53.50%,46.50%,137,110,55.50%,44.50%,90,150,37.50%,62.50%,176,70,71.50%,28.50%
Lyss,10'062,57.10%,2'693,2'969,47.60%,52.40%,2'259,3'487,39.30%,60.70%,2'057,3'535,36.80%,63.20%,3'520,2'178,61.80%,38.20%
Merzligen,332,66.00%,101,118,46.10%,53.90%,86,133,39.30%,60.70%,75,139,35.00%,65.00%,131,88,59.80%,40.20%
Müntschemier,786,63.50%,292,207,58.50%,41.50%,271,226,54.50%,45.50%,150,341,30.50%,69.50%,366,129,73.90%,26.10%
Oberwil bei Büren,646,58.80%,186,188,49.70%,50.30%,200,180,52.60%,47.40%,141,232,37.80%,62.20%,239,140,63.10%,36.90%
Radelfingen,1'016,62.50%,298,329,47.50%,52.50%,292,343,46.00%,54.00%,256,360,41.60%,58.40%,359,273,56.80%,43.20%
Rapperswil ,2'084,59.10%,645,570,53.10%,46.90%,598,633,48.60%,51.40%,433,780,35.70%,64.30%,784,442,63.90%,36.10%
Rüti bei Büren,666,55.90%,166,192,46.40%,53.60%,195,177,52.40%,47.60%,135,217,38.40%,61.60%,250,119,67.80%,32.20%
Schüpfen,2'892,59.90%,768,932,45.20%,54.80%,690,1'042,39.80%,60.20%,710,981,42.00%,58.00%,1'005,713,58.50%,41.50%
Seedorf ,2'379,63.00%,800,684,53.90%,46.10%,764,735,51.00%,49.00%,566,914,38.20%,61.80%,977,522,65.20%,34.80%
Siselen,459,59.90%,119,152,43.90%,56.10%,132,143,48.00%,52.00%,103,165,38.40%,61.60%,179,92,66.10%,33.90%
Studen,2'122,55.20%,645,515,55.60%,44.40%,558,614,47.60%,52.40%,447,699,39.00%,61.00%,790,376,67.80%,32.20%
Täuffelen,2'094,64.40%,661,657,50.20%,49.80%,619,729,45.90%,54.10%,493,815,37.70%,62.30%,840,497,62.80%,37.20%
Treiten,320,63.10%,116,85,57.70%,42.30%,120,80,60.00%,40.00%,63,139,31.20%,68.80%,141,60,70.10%,29.90%
Tschugg,301,66.10%,83,116,41.70%,58.30%,66,133,33.20%,66.80%,75,121,38.30%,61.70%,113,82,57.90%,42.10%
Vinelz,651,69.00%,218,221,49.70%,50.30%,175,274,39.00%,61.00%,152,290,34.40%,65.60%,279,169,62.30%,37.70%
Walperswil,760,60.80%,202,255,44.20%,55.80%,242,219,52.50%,47.50%,137,316,30.20%,69.80%,321,141,69.50%,30.50%
Wengi,449,61.90%,159,117,57.60%,42.40%,153,124,55.20%,44.80%,110,160,40.70%,59.30%,194,84,69.80%,30.20%
Worben,1'693,60.70%,551,468,54.10%,45.90%,522,505,50.80%,49.20%,394,605,39.40%,60.60%,677,350,65.90%,34.10%
Total,53'089,60.10%,15'780,15'699,50.10%,49.90%,14'648,17'246,45.90%,54.10%,11'699,19'446,37.60%,62.40%,20'320,11'426,64.00%,36.00%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Oberaargau,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Oberaargau,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Aarwangen,3'083,59.60%,926,886,51.10%,48.90%,876,949,48.00%,52.00%,620,1'189,34.30%,65.70%,1'206,630,65.70%,34.30%
Attiswil,1'086,61.50%,358,308,53.80%,46.20%,360,306,54.10%,45.90%,237,422,36.00%,64.00%,447,221,66.90%,33.10%
Auswil,405,57.50%,126,103,55.00%,45.00%,153,80,65.70%,34.30%,98,130,43.00%,57.00%,155,78,66.50%,33.50%
Bannwil,525,62.30%,178,141,55.80%,44.20%,188,138,57.70%,42.30%,123,198,38.30%,61.70%,224,103,68.50%,31.50%
Berken,38,73.70%,8,19,29.60%,70.40%,20,8,71.40%,28.60%,7,20,25.90%,74.10%,23,5,82.10%,17.90%
Bettenhausen,553,68.50%,191,183,51.10%,48.90%,216,163,57.00%,43.00%,133,237,35.90%,64.10%,253,121,67.60%,32.40%
Bleienbach,559,61.40%,183,154,54.30%,45.70%,196,147,57.10%,42.90%,118,215,35.40%,64.60%,225,118,65.60%,34.40%
Busswil bei Melchnau,158,68.40%,57,50,53.30%,46.70%,65,41,61.30%,38.70%,36,72,33.30%,66.70%,70,37,65.40%,34.60%
Eriswil,1'100,51.30%,307,246,55.50%,44.50%,323,241,57.30%,42.70%,199,349,36.30%,63.70%,394,158,71.40%,28.60%
Farnern,166,57.20%,45,50,47.40%,52.60%,55,40,57.90%,42.10%,24,69,25.80%,74.20%,67,25,72.80%,27.20%
Gondiswil,598,54.50%,174,144,54.70%,45.30%,195,129,60.20%,39.80%,105,213,33.00%,67.00%,220,106,67.50%,32.50%
Graben,259,61.40%,81,72,52.90%,47.10%,93,65,58.90%,41.10%,59,92,39.10%,60.90%,118,41,74.20%,25.80%
Heimenhausen,866,58.40%,253,252,50.10%,49.90%,278,228,54.90%,45.10%,163,327,33.30%,66.70%,339,166,67.10%,32.90%
Herzogenbuchsee,4'869,60.20%,1'347,1'535,46.70%,53.30%,1'082,1'849,36.90%,63.10%,1'036,1'817,36.30%,63.70%,1'738,1'177,59.60%,40.40%
Huttwil,3'563,55.60%,1'008,936,51.90%,48.10%,958,1'024,48.30%,51.70%,689,1'243,35.70%,64.30%,1'240,719,63.30%,36.70%
Inkwil,521,68.50%,169,178,48.70%,51.30%,204,153,57.10%,42.90%,120,225,34.80%,65.20%,217,133,62.00%,38.00%
Langenthal,10'360,58.40%,2'592,3'361,43.50%,56.50%,2'187,3'865,36.10%,63.90%,2'296,3'612,38.90%,61.10%,3'544,2'481,58.80%,41.20%
Lotzwil,1'706,58.60%,562,428,56.80%,43.20%,421,579,42.10%,57.90%,373,599,38.40%,61.60%,651,337,65.90%,34.10%
Madiswil,2'554,59.70%,783,728,51.80%,48.20%,752,772,49.30%,50.70%,508,978,34.20%,65.80%,969,545,64.00%,36.00%
Melchnau,1'122,55.30%,318,293,52.00%,48.00%,326,295,52.50%,47.50%,229,379,37.70%,62.30%,363,253,58.90%,41.10%
Niederbipp,2'963,54.20%,845,746,53.10%,46.90%,899,708,55.90%,44.10%,547,1'026,34.80%,65.20%,1'129,470,70.60%,29.40%
Niederönz,1'218,64.20%,374,396,48.60%,51.40%,345,437,44.10%,55.90%,301,461,39.50%,60.50%,462,306,60.20%,39.80%
Oberbipp,1'184,59.50%,370,327,53.10%,46.90%,398,306,56.50%,43.50%,251,441,36.30%,63.70%,493,208,70.30%,29.70%
Obersteckholz,338,60.70%,107,95,53.00%,47.00%,118,87,57.60%,42.40%,85,114,42.70%,57.30%,139,65,68.10%,31.90%
Ochlenberg,485,64.50%,179,129,58.10%,41.90%,151,162,48.20%,51.80%,124,182,40.50%,59.50%,176,133,57.00%,43.00%
Oeschenbach,202,54.00%,62,47,56.90%,43.10%,66,41,61.70%,38.30%,62,47,56.90%,43.10%,68,41,62.40%,37.60%
Reisiswil,155,56.80%,56,31,64.40%,35.60%,55,33,62.50%,37.50%,29,54,34.90%,65.10%,64,24,72.70%,27.30%
Roggwil (BE),2'734,58.20%,809,756,51.70%,48.30%,760,830,47.80%,52.20%,612,935,39.60%,60.40%,955,621,60.60%,39.40%
Rohrbach,1'182,51.50%,341,259,56.80%,43.20%,353,256,58.00%,42.00%,243,354,40.70%,59.30%,406,202,66.80%,33.20%
Rohrbachgraben,296,61.10%,119,61,66.10%,33.90%,117,64,64.60%,35.40%,59,117,33.50%,66.50%,101,74,57.70%,42.30%
Rumisberg,381,67.50%,144,111,56.50%,43.50%,159,98,61.90%,38.10%,91,164,35.70%,64.30%,193,64,75.10%,24.90%
Rütschelen,441,59.90%,127,130,49.40%,50.60%,142,122,53.80%,46.20%,88,172,33.80%,66.20%,167,90,65.00%,35.00%
Schwarzhäusern,412,61.70%,131,123,51.60%,48.40%,147,105,58.30%,41.70%,94,155,37.80%,62.20%,167,84,66.50%,33.50%
Seeberg,1'269,58.10%,340,390,46.60%,53.40%,373,364,50.60%,49.40%,308,428,41.80%,58.20%,424,310,57.80%,42.20%
Thörigen,851,57.30%,249,223,52.80%,47.20%,280,208,57.40%,42.60%,133,341,28.10%,71.90%,337,142,70.40%,29.60%
